title,price,link
Challenging Behaviour Training,30 +VAT,https://www.highspeedtraining.co.uk/safeguarding-people/challenging-behaviour-training.aspx
"Display Screen
								Equipment (DSE) Assessor Training",35 +VAT,https://www.highspeedtraining.co.uk/health-and-safety/dse-assessor-training.aspx
Customer Service Training Course,25 +VAT,https://www.highspeedtraining.co.uk/business-skills/customer-service-training-course.aspx
Facilities Management Training,125 +VAT,https://www.highspeedtraining.co.uk/health-and-safety/facilities-management-training.aspx
DSEAR,25 +VAT,https://www.highspeedtraining.co.uk/health-and-safety/dsear-training.aspx
Display Screen Equipment Training,25 +VAT,https://www.highspeedtraining.co.uk/health-and-safety/online-display-screen-equipment-training.aspx
LOLER,30 +VAT,https://www.highspeedtraining.co.uk/health-and-safety/loler-course.aspx
Preventing Radicalisation and Extremism Training,20 +VAT,https://www.highspeedtraining.co.uk/safeguarding-people/preventing-radicalisation-and-extremism-training.aspx
Office Health & Safety Training,20 +VAT,https://www.highspeedtraining.co.uk/health-and-safety/online-office-safety-course.aspx
Online Cyber Security Course,25 +VAT,https://www.highspeedtraining.co.uk/business-skills/intro-to-cyber-security.aspx
PUWER,30 +VAT,https://www.highspeedtraining.co.uk/health-and-safety/puwer-training.aspx
Introduction to Safeguarding Children Refresher Training (Level 1 Safeguarding),30 +VAT,https://www.highspeedtraining.co.uk/safeguarding-people/introduction-to-safeguarding-children-refresher-training-course.aspx
"Slips, Trips and Falls",25 +VAT,https://www.highspeedtraining.co.uk/health-and-safety/slips-trips-and-falls-training-course.aspx
Advanced Safeguarding Children Refresher Training (Level 2 Safeguarding),39 +VAT,https://www.highspeedtraining.co.uk/safeguarding-people/advanced-safeguarding-children-refresher-training-course.aspx
Resilience Training,25 +VAT,https://www.highspeedtraining.co.uk/business-skills/resilience-training.aspx
Minute Taking Training Course,40 +VAT,https://www.highspeedtraining.co.uk/business-skills/minute-taking-course.aspx
Health & Safety for Food Handlers,30 +VAT,https://www.highspeedtraining.co.uk/health-and-safety/health-and-safety-food-handlers.aspx
Lone Worker Training,15 +VAT,https://www.highspeedtraining.co.uk/health-and-safety/lone-worker-training-course.aspx
Child Sexual Exploitation Awareness,30 +VAT,https://www.highspeedtraining.co.uk/safeguarding-people/child-sexual-exploitation-awareness-training-course.aspx
Managing Health & Safety Training,25 +VAT,https://www.highspeedtraining.co.uk/health-and-safety/online-managing-safety-course.aspx
Spill Management Training,25 +VAT,https://www.highspeedtraining.co.uk/health-and-safety/spill-management-training.aspx
Personal Protective Equipment (PPE),25 +VAT,https://www.highspeedtraining.co.uk/health-and-safety/personal-protective-equipment-training.aspx
 Permit to Work Training,25 +VAT,https://www.highspeedtraining.co.uk/health-and-safety/permit-to-work-training.aspx
Portable Appliance Testing (PAT),30 +VAT,https://www.highspeedtraining.co.uk/health-and-safety/portable-appliance-testing-course.aspx
Nutrition and Healthy Eating,30 +VAT,https://www.highspeedtraining.co.uk/health-and-nutrition/online-nutrition-and-healthy-eating-training-course.aspx
Child Mental Health Training,25 +VAT,https://www.highspeedtraining.co.uk/safeguarding-people/child-mental-health-training.aspx
